主播ID,主播等级,是否化妆,化妆开始时间,直播开始时间,直播结束时间,直播间编号,预估当日收益
1,低级,否,,08:40,15:10,47,153.85
2,低级,是,11:50,13:50,20:20,52,217.75
3,低级,是,15:50,20:10,02:40,34,210.65
4,低级,是,10:20,14:00,20:30,56,220.12
5,低级,否,,08:30,15:00,4,153.85
6,低级,是,13:30,15:40,22:10,5,241.42
7,低级,否,,08:00,14:30,74,153.85
8,低级,否,,21:30,04:00,29,159.76
9,低级,是,16:10,19:50,02:20,8,215.38
10,低级,否,,21:00,03:30,60,165.68
11,低级,是,08:50,12:00,18:30,39,191.72
12,低级,否,,08:40,15:10,35,153.85
13,低级,是,11:50,13:40,20:10,72,215.38
14,低级,否,,08:30,15:00,39,153.85
15,低级,是,15:30,21:00,03:30,61,198.82
16,低级,是,12:30,16:40,23:10,44,241.42
17,低级,是,10:40,15:20,21:50,22,239.05
18,低级,是,09:50,11:30,18:00,71,184.62
19,低级,是,11:50,17:10,23:40,32,241.42
20,低级,是,09:00,09:40,16:10,66,184.62
21,低级,否,,21:10,03:40,15,163.71
22,低级,是,09:20,10:10,16:40,9,184.62
23,低级,是,12:30,16:30,23:00,16,241.42
24,低级,否,,19:10,01:40,33,187.38
25,低级,否,,08:00,14:30,7,153.85
26,低级,是,11:50,14:10,20:40,57,222.49
27,低级,是,16:20,20:00,02:30,52,213.02
28,低级,是,12:10,13:40,20:10,14,215.38
29,低级,是,10:00,13:50,20:20,38,217.75
30,低级,否,,20:10,02:40,66,175.54
31,低级,否,,11:00,17:30,50,153.85
32,低级,是,10:20,13:10,19:40,65,208.28
33,低级,是,16:00,20:40,03:10,37,203.55
34,低级,是,11:40,13:50,20:20,67,217.75
35,低级,否,,08:20,14:50,24,153.85
36,低级,是,10:00,12:40,19:10,2,201.18
37,低级,是,13:10,16:40,23:10,51,241.42
38,低级,是,15:00,16:40,23:10,47,241.42
39,低级,否,,17:30,00:00,50,201.18
40,低级,是,10:20,14:40,21:10,24,229.59
41,低级,是,08:30,09:40,16:10,63,184.62
42,低级,否,,16:00,22:30,59,201.18
43,低级,是,08:40,09:50,16:20,3,184.62
44,低级,是,08:50,10:10,16:40,40,184.62
45,低级,否,,08:10,14:40,15,153.85
46,低级,是,16:10,17:10,23:40,73,241.42
47,低级,否,,08:20,14:50,57,153.85
48,低级,否,,08:00,14:30,54,153.85
49,低级,是,11:00,11:40,18:10,21,186.98
50,低级,是,09:10,09:50,16:20,34,184.62
51,低级,是,11:30,12:30,19:00,62,198.82
52,低级,是,09:10,14:50,21:20,55,231.95
53,低级,是,07:30,11:50,18:20,68,189.35
54,低级,是,15:50,20:50,03:20,26,201.18
55,低级,是,09:10,10:40,17:10,44,184.62
56,低级,否,,20:50,03:20,55,167.65
57,低级,是,15:40,20:20,02:50,73,208.28
58,低级,否,,16:30,23:00,18,201.18
59,低级,是,12:30,17:40,00:10,20,241.42
60,低级,否,,08:00,14:30,52,153.85
61,低级,否,,09:20,15:50,33,153.85
62,低级,是,16:00,20:00,02:30,72,213.02
63,低级,是,12:30,18:10,00:40,34,239.05
64,低级,否,,20:10,02:40,45,175.54
65,低级,是,15:10,18:40,01:10,68,231.95
66,低级,是,12:50,17:20,23:50,14,241.42
67,低级,否,,21:20,03:50,23,161.74
68,低级,否,,21:20,03:50,24,161.74
69,低级,否,,08:30,15:00,38,153.85
70,低级,是,15:50,18:10,00:40,9,239.05
71,低级,是,07:30,08:40,15:10,67,184.62
72,低级,否,,16:30,23:00,64,201.18
73,低级,否,,20:50,03:20,19,167.65
74,低级,否,,20:40,03:10,11,169.63
75,低级,是,08:10,10:00,16:30,11,184.62
76,中级,是,16:10,21:30,04:00,63,335.5
77,中级,否,,21:10,03:40,4,286.49
78,中级,是,14:40,17:50,00:20,24,422.49
79,中级,是,16:10,20:50,03:20,21,352.07
80,中级,否,,08:10,14:40,1,269.23
81,中级,否,,21:30,04:00,41,279.59
82,中级,否,,20:50,03:20,58,293.39
83,中级,是,07:30,09:30,16:00,10,323.08
84,中级,否,,15:40,22:10,35,352.07
85,中级,是,08:00,08:50,15:20,27,323.08
86,中级,否,,19:10,01:40,67,327.91
87,中级,否,,08:40,15:10,12,269.23
88,中级,是,09:10,13:40,20:10,36,376.92
89,中级,否,,11:00,17:30,53,269.23
90,中级,否,,20:00,02:30,68,310.65
91,中级,是,07:50,10:40,17:10,61,323.08
92,中级,否,,20:30,03:00,49,300.3
93,中级,是,13:00,18:20,00:50,25,414.2
94,中级,是,10:10,14:40,21:10,15,401.78
95,中级,否,,19:10,01:40,62,327.91
96,中级,是,14:40,17:40,00:10,51,422.49
97,中级,是,15:20,19:20,01:50,28,389.35
98,中级,否,,21:20,03:50,64,283.04
99,中级,是,15:30,18:50,01:20,3,401.78
100,中级,否,,10:00,16:30,31,269.23
101,中级,是,09:00,09:50,16:20,6,323.08
102,中级,是,09:10,14:50,21:20,8,405.92
103,中级,否,,08:20,14:50,16,269.23
104,中级,否,,17:00,23:30,21,352.07
105,中级,否,,21:10,03:40,27,286.49
106,中级,是,14:40,18:20,00:50,11,414.2
107,中级,否,,16:00,22:30,37,352.07
108,中级,否,,20:40,03:10,6,296.84
